There,are,two,end,users,namely,the,hotel,staff,(customer,service,representative),and,hotel,managers.,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,store,the,stock,available,with,the,local,producer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,JJ,IN,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,AM,AM,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,system,will,have,local,producer�s,stock,details,with,product,id,,quantity,and,name.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,NNS,NN,NNS,IN,NN,NN,NN,CC,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EM,EM,AM,AM,,AM,AM,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
The,details,of,the,raw,material,provided,by,the,local,producer,are,also,maintained,by,database.,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNS,IN,DT,JJ,NN,VBN,IN,DT,JJ,NN,VBP,RB,VBN,IN,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EM,EM,RS,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,enable,customer,to,view,list,of,movies,showcased,at,each,venue,by,date,and,time.,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,TO,VB,NN,IN,NNS,VBN,IN,DT,NN,IN,NN,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,
,,,ES,,RS,,,ES,,,,AS,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,have,search,function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,can,search,movies,based,on,name,,date,,time,and,venue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,MD,VB,NNS,VBN,IN,NN,NN,NN,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,ES,,,AS,,AS,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,can,book,tickets,online.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRB,MD,NN,NNS,VB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,will,select,the,movie,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,MD,VB,DT,NN,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
While,booking,tickets,following,details,need,to,be,filled,namely,number,of,adult,,number,of,children,,date,and,time.,,,,,,,,,,,,,,,,,,,,
IN,NN,NNS,VBG,NNS,VBP,TO,VB,VBN,RB,NN,IN,JJ,NN,IN,JJ,NN,CC,NN,,,,,,,,,,,,,,,,,,,,,,
,RS,ES,,,,,,,,AM,AM,AM,,AM,AM,AM,,AS,,AS,,,,,,,,,,,,,,,,,,,,
System,shall,display,seating,position,still,available,for,the,movie,based,on,date,and,time.,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,NN,RB,JJ,IN,DT,NN,VBN,IN,NN,CC,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,AM,AM,,AM,,,ES,,,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,record,the,seating,selected,by,the,customer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NN,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,AS,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,have,a,lock,function,which,will,prevent,customer,or,counter,clerk,from,booking,the,same,ticket.,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,JJ,NN,WDT,MD,VB,NN,CC,NN,NN,IN,VBG,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,AM,AM,,,RS,ES,,EM,EM,,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,
System,will,display,all,the,details,after,the,confirmation,of,booking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,PDT,DT,NNS,IN,DT,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,ES,,,AM,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,calculate,service,charges,and,government,tax,charges.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,NNS,CC,NN,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,EM,EM,,EM,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,will,calculate,total,prices,of,the,tickets,to,be,paid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,JJ,NNS,IN,DT,NNS,TO,VB,VBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RM,RM,RM,,,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,make,the,payments,and,book,the,ticket.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NNS,CC,NN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,ES,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,send,email,notification,,to,the,customer,about,the,confirmation,of,purchase.,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,JJ,NN,NNS,TO,DT,NN,IN,DT,NN,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RM,AM,AM,,,,ES,,,AM,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmation,number,is,stated,in,email,notification.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NN,NN,VBZ,VBN,IN,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,AM,,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer,need,to,provide,confirmation,number,to,the,counter,clerk,to,get,the,movie,tickets,at,the,branch.,,,,,,,,,,,,,,,,,,,,,,,
NN,VBP,TO,VB,NN,NN,TO,DT,JJ,NN,TO,VB,DT,NN,NNS,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,
ES,,,RS,AM,AM,,,EM,EM,,RS,,EM,EM,,,AM,,,,,,,,,,,,,,,,,,,,,,,
If,the,customer,cancels,the,payment,the,system,shall,display,the,booking,details,back.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,DT,NN,VBZ,DT,NN,DT,NN,MD,VB,DT,NN,NNS,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ES,RS,,ES,,ES,,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,have,a,list,of,purchased,movie,details,made,by,the,customer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NN,IN,JJ,NN,NNS,VBN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,,,EM,EM,EM,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,display,the,seating,screen,for,customer,to,select,their,seat,location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,VBG,NN,IN,NN,TO,VB,PRP$,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,,AM,AM,,ES,,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,allow,the,counter,clerk,to,search,the,movie,reservation,by,using,the,confirmation,number.,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,JJ,NN,TO,VB,DT,NN,NN,IN,VBG,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EM,EM,,RS,,EM,EM,,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,
System,shall,allow,the,counter,clerk,to,print,the,tickets,with,valid,confirmation,number.,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,JJ,NN,TO,VB,DT,NNS,IN,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EM,EM,,RM,RM,ES,,AM,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,should,allow,each,branch,to,have,their,own,pricing,table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,DT,NN,TO,VB,PRP$,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ES,,RS,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branches,have,different,pricing,parameters,such,as,weekday,weekend,and,public,holiday,pricing,as,well,as,based,on,adult,and,children.,,,,,,,,,,,,,,,,,,,,
NNS,VBP,JJ,NN,NNS,JJ,IN,NN,CC,JJ,NN,NN,RB,RB,RB,VBN,IN,NN,CC,NN,,,,,,,,,,,,,,,,,,,,,
ES,RS,,EM,EM,,,AS,AS,,AM,AM,AM,,,,,,AS,,AS,,,,,,,,,,,,,,,,,,,,
With,the,mobile,application,,the,users,will,be,able,to,search,for,restaurants.,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,DT,JJ,NN,DT,NNS,MD,VB,JJ,TO,VB,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,,EM,EM,,,ES,,,,,RS,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,
There,are,three,types,of,users,that,interact,with,the,system:,users,of,the,mobile,application,restaurant,owners,and,administrators.,,,,,,,,,,,,,,,,,,,,,
EX,VBP,CD,NNS,IN,NNS,WDT,VBP,IN,DT,JJ,NNS,IN,DT,JJ,JJ,NN,NNS,CC,NN,,,,,,,,,,,,,,,,,,,,,
,,,,,GS,,,,,,,,,EM,EM,EM,EM,,ES,,,,,,,,,,,,,,,,,,,,,
Users,will,be,able,to,,select,a,restaurant,as,target,destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,JJ,TO,RB,VB,DT,NN,IN,NN,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,,,RS,,ES,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Users,will,be,able,to,,get,information,how,to,get,there,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,JJ,TO,RB,VB,NN,WRB,TO,VB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,,,RM,RM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Users,will,be,able,to,,view,the,information,of,a,specific,restaurant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,JJ,TO,RB,VB,DT,NN,IN,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,,,RS,,,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurant,owners,will,manage,the,information,about,their,restaurant,,for,example,a,description,of,the,restaurant,,contact,information,and,their,menu.,,,,,,,,,,,,,,,,,,
NNP,NNS,MD,VB,DT,NN,IN,PRP$,NN,IN,NN,DT,NN,IN,DT,JJ,NN,NN,CC,PRP$,NN,NN,,,,,,,,,,,,,,,,,,,
EM,EM,,RS,,,,,ES,,,,,AS,,,,,AM,AM,,,AS,,,,,,,,,,,,,,,,,,
Admin,manages,the,overall,system,so,there,is,no,incorrect,information,within,it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,DT,JJ,NN,IN,EX,VBZ,DT,JJ,NN,IN,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,administrator,can,manage,the,information,for,each,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,DT,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,user,should,be,able,to,download,the,mobile,application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,TO,VB,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,should,notify,users,of,new,releases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NNS,IN,JJ,NNS,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,ES,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,user,must,provide,user-name,,password,and,e-mail,address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,CD,NN,CC,VB,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,AS,,AS,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,user,should,be,able,to,search,for,a,restaurant,,according,to,several,search,options.,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,TO,VB,IN,DT,NN,VBG,TO,JJ,NN,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,,RS,,,ES,,,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,
The,search,options,are,Price,Destination,Restaurant,type,and,Specific,dish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NNS,VBP,VBG,NNP,NNP,NN,CC,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,AS,AS,AM,AM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There,should,be,maximally,100,results,displayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX,MD,VB,RB,CD,NNS,VBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AS,ES,RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search,should,include,the,restaurant,name,telephone,number,type,of,food,distance,according,to,the,user�s,position,average,price,a,short,two-line,description,a,link,to,the,restaurant�s,web-page,and,an,information,link,,,,,,,,
RB,MD,VB,DT,NN,CD,NN,NN,NN,IN,JJ,NN,VBG,TO,DT,JJ,JJ,NN,VBG,DT,JJ,JJ,NN,DT,NN,TO,DT,JJ,NN,CC,DT,NN,NN,,,,,,,,
ES,,,,AM,AM,AM,AM,AM,,AM,AS,,,,,,AM,AM,,,,AS,,AS,,,,,,,,,,,,,,,,
A,user,should,be,able,to,select,a,pin,on,a,map,or,an,element,on,a,list.,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,TO,VB,DT,NN,IN,DT,NN,CC,DT,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,,RS,,AS,,,ES,,,AS,,,ES,,,,,,,,,,,,,,,,,,,,,,,
The,user,should,then,be,navigated,to,the,destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,RB,VB,VBN,TO,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,user,should,be,able,to,input,a,maximum,and,a,minimum,price,range.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,TO,NN,DT,NN,CC,DT,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,,RS,,AS,,,AS,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,user,should,be,able,to,input,a,maximum,and,a,minimum,distance,,according,to,his/her,position.,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,TO,VB,DT,NN,CC,DT,JJ,NN,VBG,TO,NN,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,,RS,,AS,,,AS,ES,,,,,AS,,,,,,,,,,,,,,,,,,,,,,,
In,order,to,create,an,account,a,restaurant,owner,should,register,on,the,web-portal,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,NN,TO,VB,DT,NN,DT,NN,NN,MD,VB,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RM,,RM,,EM,EM,,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,restaurant,owner,should,be,able,to,manage,information,in,a,form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NN,MD,VB,JJ,TO,VB,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,,,,RS,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,restaurant,owner,provides,average,price,address,e-mail,address,phone,and,dish,price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NN,VBZ,JJ,NNP,NNP,JJ,NN,NN,NN,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,AM,AM,AS,AM,AM,AS,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurant,owner,can,delete,and,edit,information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NN,MD,VB,CC,VB,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,,RM,,RM,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Admin,can,add,delete,or,edit,a,new,restaurant,type.�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,RB,VB,CC,VB,DT,JJ,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,,,,RS,,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,controller,interacts,with,the,buttons,by,receiving,press,and,release,signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,IN,DT,NNS,IN,VBG,NN,CC,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RS,,,ES,,,AS,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signals,indicate,the,requested,direction,and,floor,number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNS,VBP,DT,JJ,NN,CC,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,EM,EM,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,also,sends,light,on/off,signals,to,indicate,the,status,of,the,buttons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,RB,VBZ,JJ,NN,NNS,TO,VB,DT,NN,IN,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,EM,EM,EM,,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passengers,can,press,summon,button,to,call,an,elevator,cab,to,the,floor,that,the,pressed,summon,button,is,located,on.,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,JJ,NN,TO,VB,DT,NN,NN,TO,DT,NN,IN,DT,NNP,NNP,NN,VBZ,VBN,NN,,,,,,,,,,,,,,,,,,,,
ES,,RS,EM,EM,,RS,,EM,EM,,,AS,,,AM,AM,AM,,,,,,,,,,,,,,,,,,,,,,,
Passengers,can,press,floor,request,button,to,direct,the,elevator,cabs,to,the,floor,that,they,would,like,to,go,to.,,,,,,,,,,,,,,,,,,,,
NNS,MD,VB,NN,NN,NN,TO,VB,DT,NN,NNS,TO,DT,NN,IN,PRP,MD,VB,TO,VB,NN,,,,,,,,,,,,,,,,,,,,
ES,,RS,EM,EM,EM,,RS,,EM,EM,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,passenger,can,press,open,button,to,open,the,elevator,doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,JJ,NN,TO,VB,DT,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,EM,EM,,AM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,passenger,can,press,emergency,button,to,stop,the,elevator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,NN,TO,VB,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,EM,EM,,AM,,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,passenger,can,press,emergency,bell,button,to,sound,a,bell,to,alert,people,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,MD,VB,NN,NN,NN,TO,VB,DT,NN,TO,VB,NNS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,RS,EM,EM,EM,,AM,,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service,switch,is,useful,for,loading,large,items,such,as,furniture,into,an,elevator,cab,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NN,VBZ,JJ,IN,VBG,JJ,NNS,JJ,IN,NN,IN,DT,NN,NN,,,,,,,NNS,,,,,,,,,,,,,,,,,,,
EM,EM,,,,RS,EM,EM,,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,display,,indicates,to,its,passengers,which,floor,the,elevator,cab,is,currently,on,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NN,VBZ,TO,PRP$,NNS,WDT,NN,DT,NN,NN,VBZ,RB,IN,,,,,,,NNS,,,,,,,,,,,,,,,,,,,
,ES,,RS,,,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,controller,sends,a,signal,to,floor,number,display,which,floor,number,to,display.,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,DT,NN,TO,NN,NN,NN,WDT,NN,NN,TO,VB,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RM,,RM,,EM,EM,EM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,controller,sends,a,signal,to,direction,display,which,direction,to,display.�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,DT,NN,TO,NN,NN,WDT,NN,TO,VB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RM,,RM,,EM,EM,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,floor,of,each,elevator,cab,has,a,load,sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,IN,DT,NN,NN,VBZ,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,,,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each,cab,has,a,load,bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Door,opening,device,opens,the,inner,door,of,the,elevator,cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,NN,NN,VBZ,DT,JJ,NN,IN,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EM,EM,RS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The,elevator,engine,is,responsible,for,moving,an,elevator,cab,up,and,down,between,floors.,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,NN,VBZ,JJ,IN,VBG,DT,NN,NN,RB,CC,RB,IN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,,,RS,,EM,EM,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,controls,the,speed,of,elevator,engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,DT,NN,IN,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,AS,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,queues,and,processes,elevator,summons,and,floor,requests,from,passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ,NNS,CC,NNS,NN,NNS,CC,NN,NNS,IN,NNS,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RM,,RM,EM,EM,,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,can,sound,alarm,bells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,MD,VB,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,,RS,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,turns,the,light,on,and,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,DT,NN,RP,CC,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,ES,AS,,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,handles,input,signal,from,various,components.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,NN,NN,IN,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,EM,EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller,maintains,a,queuing,system,to,log,and,process,requests.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNP,VBZ,DT,JJ,NN,TO,VB,CC,VB,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,RS,,EM,EM,,AS,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An,IPL,tournament,is,hosted,every,year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NNP,NN,VBZ,VBG,DT,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EM,EM,,R,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Every,tournament,consists,of,8,teams,having,11,players,each.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,IN,CD,NNS,VBG,CD,NNS,VBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each,team,represents,a,certain,city.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,DT,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RS,,,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each,team,has,its,own,dressing,room,and,home,ground.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DT,NN,VBZ,PRP$,JJ,JJ,NN,CC,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES,RS,,,AM,AM,,AM,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,captain,is,chosen,for,the,team,amongst,its,own,players.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
